Country,League_Shortname
England,GB1
Spain,ES1
Italy,IT1
Germany,L1
France,FR1
Portugal,PO1
Netherlands,NL1
TÃ¼rkiye,TR1
Russia,RU1
Belgium,BE1
Greece,GR1
Austria,A1
Ukraine,UKR1
Switzerland,C1
Denmark,DK1
Czech Republic,TS1
Scotland,SC1
Serbia,SER1
Norway,NO1
Poland,PL1
Sweden,SE1
Croatia,KR1
Romania,RO1
Bulgaria,BU1
Cyprus,ZYP1
Hungary,UNG1
Israel,ISR1
Slovakia,SLO1
Azerbaijan,AZ1
Kazakhstan,KAS1
Bosnia-Herzegovina,BOS1
Slovenia,SL1
Belarus,WER1
Lithuania,LI1
Finland,FI1
Armenia,ARM1
Latvia,LET1
Albania,ALB1
North Macedonia,MAZ1
Georgia,GE1N
Kosovo,KO1
Malta,MT1N
Moldova,MO1N
Ireland,IR1
Luxembourg,LUX1
Iceland,IS1
Northern Ireland,NIR1
Estonia,EST1
Montenegro,MNE1
Andorra,AND1
Faroe Islands,FARO
Wales,WAL1
Gibraltar,GI1
San Marino,SMR1